年月,O2O金融项目,家电,日化,母婴,酒饮,食品
2014-01,0.0,0.0,2347938.8620670782,-331200.6575833832,5276012.873476147,10860626.694196709
2014-02,0.0,0.0,-1312969.3732244936,-2517470.58940887,-439186.5261680355,-6499420.668063228
2014-03,0.0,0.0,-336420.1858232733,2245077.456627802,-1987620.5304279344,-6291475.298136399
2014-04,0.0,330240.7191999995,-546091.6673057782,930392.2778055418,-2214573.051870787,-4206192.9683987275
2014-05,0.0,16949.709999999977,2447279.0689234105,1559072.119276231,-3973344.651186163,-1649734.4745392133
2014-06,0.0,-546976.7259999992,1197046.1276841816,2888912.3723421716,2220632.159195744,349145.0456263534
2014-07,0.0,-295505.0996,-2115856.264794176,2612960.2641878226,4126695.007424793,-3629210.129340203
2014-08,0.0,-466167.7887999998,261601.65422252315,1546426.7505147401,-2146200.520095042,3948065.309017287
2014-09,0.0,544722.9951999999,6751258.081693466,4338645.381335235,1215334.2098839283,2770976.8184095393
2014-10,0.0,-307745.8720999962,1106977.5368700782,3513564.501711805,-2767414.460235256,-5820411.261931866
2014-11,0.0,890684.0539199999,3991917.45121692,3271966.1692988793,-633889.3931119895,-5245132.164958187
2014-12,0.0,751560.956720002,4889989.03138051,426104.6445655702,14348400.76051581,-3318781.608655593
2015-01,0.0,743812.8199999994,1042800.7792021633,4363046.1381757315,12435165.70043722,12935030.87978397
2015-02,0.0,741369.0224291579,-2827612.0806020605,-2001560.0473291145,6108547.299310802,1191060.4285865629
2015-03,0.0,907526.1890042253,1143213.6388183467,4175640.426880037,-1840612.4200768494,-7724134.184489483
2015-04,0.0,20236.12986210944,2457042.9726513415,4141796.286652172,-2706693.7971525993,-7971792.498939462
2015-05,0.0,898466.0526629697,822713.7481077906,4700130.323980322,-1241286.1417791601,-6966451.875344409
2015-06,0.0,2078150.121115754,863111.32091586,4010005.131462824,-594549.1467994946,5306703.407310864
2015-07,2132951.1048006164,364407.6480963651,-2198851.682239804,2561734.1409412734,-1855324.544568803,-9736883.407448458
2015-08,2028796.9119681984,956337.4625452551,-864390.3021655531,5978799.453617794,-3069843.835390369,1703255.608513908
2015-09,1465754.8647413447,821975.8777878257,2633556.6883242107,8555917.091605403,2265934.805827985,2873479.9954946213
2015-10,4845004.553130994,1110205.1284042883,1367766.6285572087,4589569.424635013,4032012.3036391903,-4349404.173851504
2015-11,1227719.2873858877,152099.4260988765,-2943001.0677337153,7871142.9712381875,2115877.6813822896,-1856436.6910816818
2015-12,1766222.2452841355,6415016.261450523,11376345.235719368,8580355.727361327,19644582.889102507,-5773487.78519858
