项目简称,上海平台,云贵平台,北京平台,吉林平台,四川平台,国代,天津平台,安徽平台,山东平台,山西平台,广州公司,广西平台,总部,总部平台,江苏平台,江西平台,河北平台,河南平台,浙江平台,深圳公司,湖北平台,湖南平台,电商,福建平台,辽宁平台,重庆平台,陕西平台,黑龙江平台
Qlink昶腾,,,,,,,,,,,,,,,,,,,,38870.84784613768,,,,,,,,
临采,,,,,,,,,,,,,,,,,,-28340.0,-3413.19519875032,,,,,,,,,
丹尼斯克,,,,,,,,,,,,,,,,,,,-75747.43320000001,3939.649015826192,,,,0.0,,,,
亚奇维,,45275.74300475824,,,,,,,,,,,,,,,,,,,,,,,,,,
亨氏,,388294.38974406297,6085063.299385587,,,,201467.7194375484,,,39546.5742565359,,20203.164291906298,,,,,,1945.4909774787304,1628.64736774101,-25833.110725311308,-80280.63421692439,,,,-666223.5608505452,,,
伊利,,,,,,,,,,,,,,,,,0.0,11769.413398358402,-2602541.0756736123,,,,,,,125418.99619115195,,
优贝加,,,,,,,,,,,,,,,,,,,,,,,,,,94472.17667900005,,
佳贝艾特,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
全日美,,,,,,,,-54804.995229747445,-5023.81327656511,,,110583.35233693333,,,,,,,,,,,,,,,,
其他,,,,,,,,,,,,,,-508617.81092104607,,,,-32.9366823563899,,,,,-75003.06131781136,,,,,
南山奶粉,,,,,,,,,,,,,,,,,,,,,,,,,,,-103626.72963390552,
卡洛塔妮,,,,,,,,,,,,,,,,,,,,,,,,,,1204499.6497507524,,
合生元,,2916192.299983554,,,,,,,-48848.71292068174,8472.50036452757,,,,,,,69817.69122127941,-7372.16810993606,,694.366568853159,,859520.133302209,,-217666.9845216809,301227.19515774376,87112.07510821859,19993.273948510177,
咔哇熊,,,,,,,,,,,,,,,,,,,,21451.35936932354,,1640.6575343933298,,,,,,
喜宝,,,,,,,,,,,,,,,,,,,,334543.74107230216,,,,,,,,
圣元,,,,,,,,,,,-35497.54030883779,,,,,,,,,,,,,,,,57679.20992004794,
多美滋,,42069.25998597063,,,-1016068.9788099045,,-2349222.218927305,-624565.4992473712,-293390.9764190837,,,,,,-693386.6971724932,,,,-7825.633101565203,-2075867.3211907397,,67076.87999999998,,217537.41464144728,-2125282.0857165786,,-177330.86395561186,
大王,,,,,,,,,139.57799974012778,,,,,,,,,,,,,,,,,,,
好孩子,,,,,,,,,,,,,,,,,,,,,,,,-99002.7016262792,,,,
娃哈哈,,,,,,,,,,,,,,,,,,,,,,,,,-23901.78999999999,,,
安怡,,-214550.41494069295,,,-9420.056802202887,,,96271.46681496475,,,,,,1567271.5709513044,,,,4192.1788783227,8868.439351013914,340550.325832894,,-12253.376879747459,,-151293.86988135698,,,0.0,
小宝贝,,,,,,,,-1941.491767897725,,,,,,,,,,,,,,,,,,,,
尤妮佳,,,,,,,,,218570.93780151772,,,,,,,,,,,846303.4537962036,,,,259209.82044092353,,-27661.688008168378,0.0,
强生,,,,,,,,,37381.10550271478,,,,,,,,,,-21648.4725654727,,,,,,,,,
恒大奶粉,,,,,,,,,,,,,,,,,,,,,,-5511.38,,,,,,
恒天然,,,,,48891.680592826604,,1334289.7037462746,-136926.32325382455,-15736.812201514756,,,,,,,,,,7076.0832177680495,,-20710.338293761666,,253745.51907000988,,,,,
恒安,,,,,,,,,,,,,,,,,,,,,,,,9835.0,,,,
惠氏,,-1936902.3155642718,80180.26739447011,,,,1925023.2977626985,1981546.7409367044,382346.84580978367,,,,1760951.4754335731,,,314577.0001776037,,1336075.62381777,171342.12031540234,0.0,-108994.36981670282,-222747.46685946503,,1721019.573738315,3345847.707470011,5828812.121123896,,
慧智妈咪,,-722.0,,,,,,,,,,,,,,,,,,,,,,,,,,
整合,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
新欣,,,,,,,,,18374.647984855143,,,,,,,,,,,,,,,,,,,
方广,,,,,,,,,,,,,,,,,,,,,,,,,,,21124.590091826518,
施儿佳,,-4695.692105088721,,,,,,,,,,,,,,,,,,,,,,,,,,
施恩,,,,,,,,,,,,,,,,,,,,,,-80841.63394501347,,,,-187961.65922733926,,
明治,,,,,,,,,,,,,,,,,,,,-22453.471728652086,,,,,,,,
星喜,,,,,,,,,,,,,,,,,,,,,,,,,,-100240.45010833385,,
母婴,,,,,,,,,,,,,,-137875.10482876905,,,,,,,,,-970576.4772847095,,,,,
每伴,,,,,,,,,,,,,,,,,,-203391.00196784484,,,,,,,,119267.7063849711,,
泰迪熊,,,,,,,,,64156.86350382881,,,,,,,,,,,,,,,,,,,
淘淘安金润,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
满趣健,,,,,,,34307.35890683421,,,,,,,,,,,,,,,,,,,,,
澳优,,382576.73639619735,,,,,,,,,,234581.24323278025,,,,,,,,,,,,,,,,
火火兔,,91251.12364155194,,,,,,,,,,,,,,,,,,,,,,,,,,
爱生雅,,,,,,,,,,,,,,,,,,,,,,,,-19496.184012147,,,,
特福芬,,,,,,,,,,,,,,,,,,,,-109990.51096125174,,,,,,,,
百立乐,,,,,,,,,,,,,,,,,,,,-325536.63504599174,,,,,,,,
纽迪希亚,,94996.42202653787,,,,140360.558,148283.63440541472,,,,,543959.2416325572,,,-9731.39,-31.0,,,155227.19973447546,2534354.3608544795,,1017006.667002677,,981520.529434247,-46368.97578458149,,,
美智高,,,,,,,,,,,,,,,,,,,,,,,,,,52176.11036192186,,
美素,,2959806.8501490443,,,,,3094372.3739963947,5370281.837509413,289313.2299177346,-101829.77698735779,,,,,-116186.469196187,93274.25944018029,-20516.03198549539,,,25985403.781894885,,135069.33919810707,,216677.26034077734,128525.87687734874,3025529.0303405835,,
美赞臣,,-1308436.9700335416,,,,,,-1070731.883449123,,,,,,0.0,,,,1473600.4188038786,,2665996.491455896,,,,,,,,
花王,,,,,,,,,,,,,,,,,,,,,,,,,,101267.05311138315,,
菲比,,,,,,,,,,,,,,,,,,,,-225989.30259494742,,,7333.424443606029,,,,,
蒙牛,,,,,,,,,,,,,,,,,,,,,,,,,,,-783350.5340617225,
贝因美,,,297678.30579766934,,,,,235768.62945291548,15615.005834070671,,,-3325.2477291181185,,,,,109834.03276758308,,,,,268258.42900497874,,,,401035.4687596622,-978949.9137375251,
辉山,,,,,,,,,,,,,,,,,,,,,,744155.8900815549,,,,,,
达能,-480582.86604566657,62872.24382463621,,,722564.2219871206,,589075.6201776578,-10943.532486333337,,-27263.124800979705,,,,0.0,,,177330.87518622915,-183508.01154719022,-823217.0275900408,3168554.49250249,,1763725.3582604176,,3073477.9424154903,472475.06181927084,,,
金佰利,,-62649.62197143053,-418712.97783491784,,,,,49885.829999999994,937165.4825206785,,,-907534.3596191384,,,,,,,605348.5133221511,45025.08083513544,,,,738510.4499574123,-87608.37782423059,612244.8986795621,,
金王,,,,,,,,,-146648.59547057294,,,,,,,,,,,,,,,,,,,
雀巢,,,,894338.8309839251,,,,,,,,,,,,,,331118.7436489667,-52618.49540000021,-605100.9250189837,,,,,,,,
雀氏,,,,,,,,-93201.34539746688,-99940.01574285,,,,,,,,,,,,,,,-20400.5053634895,,,,
雅培,,-499215.8554643035,432715.9913997032,-95780.72320000001,,,,495620.021557253,-119798.56125380426,13801.506830743603,,56501.6802202465,,,,,,-83292.56496252822,,1642442.958171355,,-3189438.8681475273,,-44.2821200608041,315977.99615934,-261279.56627058558,395307.3067486975,8875.983069118722
雅士利,,,-8458.858980434641,,,,63125.126538567085,,,,,,,,,,,,,,,1754082.8613675626,,-491664.0521927036,,,32324.565547239607,
露安适,,,,,,,,,,,,,,,,,,,,37621.45369006839,,,,,,,,
领瑞,,,,,,,,,,,,,,,,,,,,,,,,,,293494.85656787636,,
飞鹤,,,,,-86601.18802525161,,,,,,,34342.88493374798,,,,,,179609.14781230674,,,,,,,,,-903429.4941571787,
