序号,品牌,标签
1,纽迪希亚,热销
2,美素,热销
3,惠氏,热销
4,金佰利,热销
5,达能,热销
6,雅培,热销
7,其他,热销
8,尤妮佳,热销
9,多美滋,热销
10,美赞臣,热销
11,雀巢,热销
12,合生元,热销
13,贝因美,热销
14,亨氏,热销
15,雅士利,热销
16,安怡,热销
17,丹尼斯克,热销
18,恒天然,热销
19,全日美,热销
20,飞鹤,热销
21,伊利,热销
22,母婴,热销
23,临采,热销
24,优贝加,热销
25,施恩,热销
26,卡洛塔妮,热销
27,澳优,热销
28,圣元,热销
29,喜宝,热销
30,百立乐,热销
31,花王,热销
32,辉山,热销
33,蒙牛,热销
34,领瑞,热销
35,菲比,热销
36,露安适,热销
37,金王,正常
38,泰迪熊,正常
39,小宝贝,正常
40,火火兔,正常
41,每伴,正常
42,美智高,正常
43,新欣,正常
44,强生,正常
45,亚奇维,正常
46,雀氏,正常
47,星喜,正常
48,施儿佳,正常
49,特福芬,滞销
50,方广,滞销
51,满趣健,滞销
52,Qlink昶腾,滞销
53,南山奶粉,滞销
54,咔哇熊,滞销
55,大王,滞销
56,明治,滞销
57,淘淘安金润,滞销
58,整合,滞销
59,慧智妈咪,滞销
60,恒大奶粉,滞销
61,娃哈哈,滞销
62,好孩子,滞销
63,佳贝艾特,滞销
64,恒安,滞销
65,爱生雅,热销
