,项目简称,标签
0,Qlink昶腾,滞销
1,临采,热销
2,丹尼斯克,滞销
3,亚奇维,热销
4,亨氏,热销
5,伊利,滞销
6,优贝加,滞销
7,佳贝艾特,正常
8,全日美,滞销
9,其他,热销
10,南山奶粉,热销
11,卡洛塔妮,热销
12,合生元,热销
13,咔哇熊,热销
14,喜宝,热销
15,圣元,滞销
16,多美滋,滞销
17,大王,热销
18,好孩子,正常
19,娃哈哈,正常
20,安怡,滞销
21,小宝贝,滞销
22,尤妮佳,滞销
23,强生,热销
24,恒大奶粉,正常
25,恒天然,滞销
26,恒安,正常
27,惠氏,滞销
28,慧智妈咪,正常
29,整合,正常
30,新欣,热销
31,方广,热销
32,施儿佳,热销
33,施恩,滞销
34,明治,正常
35,星喜,滞销
36,母婴,热销
37,每伴,热销
38,泰迪熊,滞销
39,淘淘安金润,正常
40,满趣健,滞销
41,澳优,热销
42,火火兔,热销
43,爱生雅,滞销
44,特福芬,滞销
45,百立乐,滞销
46,纽迪希亚,滞销
47,美智高,热销
48,美素,热销
49,美赞臣,热销
50,花王,热销
51,菲比,热销
52,蒙牛,滞销
53,贝因美,热销
54,辉山,热销
55,达能,滞销
56,金佰利,滞销
57,金王,滞销
58,雀巢,滞销
59,雀氏,滞销
60,雅培,滞销
61,雅士利,滞销
62,露安适,滞销
63,领瑞,滞销
64,飞鹤,滞销
