品牌,销售收入,毛利率(%),标签,优化建议
惠氏,1443210866.74,7.51,热销,增加备货
美素,1302060350.52,9.39,热销,增加备货
美赞臣,388559957.83,7.25,热销,增加备货
纽迪希亚,263315883.6697,9.62,热销,增加备货
金佰利,232709868.68,7.43,热销,增加备货
达能,192114056.29,10.95,热销,增加备货
尤妮佳,159224409.07999998,8.23,热销,增加备货
贝因美,129314433.302,10.01,热销,增加备货
合生元,122863940.76,11.87,热销,增加备货
雀巢,106928455.08,6.52,热销,增加备货
亨氏,88955455.96,17.81,热销,增加备货
雅士利,44851986.79,19.62,热销,增加备货
恒天然,42968628.97,18.3,热销,增加备货
安怡,31516766.89,16.22,热销,增加备货
卡洛塔妮,10284000.77,19.36,热销,增加备货
圣元,7696905.2299999995,9.47,热销,增加备货
澳优,5866250.46,27.36,热销,增加备货
花王,3146437.82,5.4,热销,增加备货
喜宝,2869789.9699999997,29.27,热销,增加备货
辉山,2836705.12,39.66,热销,增加备货
全日美,1598387.3599999999,11.05,热销,增加备货
领瑞,1252849.72,28.61,热销,增加备货
露安适,1105050.69,21.37,热销,增加备货
优贝加,327090.28,33.1,热销,增加备货
丹尼斯克,-58.739999999999995,50523.06,热销,减少投入或淘汰
